frame,time_s,detected,px_x,px_y,pool_x_m,pool_y_m,speed_mps,orange_area_px2,cluster_contours,num_orange_candidates,thruster_min_distance_px,thruster_max_distance_px,thruster_1_x,thruster_1_y,thruster_2_x,thruster_2_y,thruster_3_x,thruster_3_y,thruster_4_x,thruster_4_y
0,0.0,True,465.8120487019167,978.1754550090776,1.1966749429702759,2.8224425315856934,nan,640.5,4,3,11.896205089818663,186.91506219232105,351.9209039548022,969.0805084745763,451.3333333333333,904.9620098039215,529.8051147460938,1013.3846435546875,530.1888427734375,1025.274658203125
1,0.03336019743751313,True,456.416619116573,983.8403343606367,1.1770826578140259,2.8320162296295166,0.6536612446455203,702.5,4,5,119.03519025825426,188.45763469935326,349.9045104980469,966.180908203125,451.91357421875,904.8333129882812,530.6093139648438,1019.6790771484375,423.4444580078125,1086.75
2,0.06672039487502626,True,450.664254553609,987.4711092090769,1.1651477813720703,2.838106155395508,0.4016410135950522,942.0,4,4,117.69606808362556,185.73308185812087,352.6601941747573,965.462783171521,453.33217993079586,904.4913494809689,530.1092636579573,1020.313539192399,423.8235294117647,1086.5882352941176
3,0.1000805923125394,True,446.2995479127153,989.630372750348,1.1562092304229736,2.841724157333374,0.28905732526689143,832.0,4,3,119.8619712237897,189.20572708895594,350.840206185567,962.8041237113403,454.8664495114007,903.2605863192182,530.6230248306998,1021.7697516930023,416.444976076555,1086.7272727272727
4,0.13344078975005252,True,443.7236469159342,990.7845600615693,1.150961995124817,2.843656063079834,0.16761224013646467,792.0,4,3,117.9152610109721,192.50053447104727,349.5,955.8636363636364,456.39080459770116,906.0804597701149,530.0185185185185,1022.7181069958848,419.85,1087.05
5,0.16680098718756564,True,441.893196412865,991.7851156208465,1.1472175121307373,2.845323324203491,0.12286772678535046,868.0,4,3,118.0496579236029,195.59193302044014,349.6818181818182,954.5,457.8724832214765,907.271812080537,531.7096219931271,1026.0687285223369,414.71122994652404,1086.7326203208556
6,0.2001611846250788,True,440.3794224603456,992.1268717070873,1.1441810131072998,2.8459033966064453,0.09266759047500102,944.0,4,3,117.27229385769598,195.07999469981155,350.90909090909093,950.8181818181819,459.9195804195804,907.5804195804196,530.5688405797101,1026.8351449275362,408.875,1085.8125
7,0.2335213820625919,True,439.91632738500624,993.6275442571265,1.1430926322937012,2.848369836807251,0.08081200110005894,724.5,4,3,120.88817657215806,189.11226734694054,355.6747967479675,962.5365853658536,462.8738317757009,906.6588785046729,531.1380846325167,1033.077951002227,406.53846153846155,1083.3846153846155
8,0.26688157950010505,True,439.2140521746109,994.7322181357624,1.1415791511535645,2.8501861095428467,0.07086907640027572,684.5,4,3,119.30658553271383,189.48060638305688,356.7843137254902,959.3450980392157,464.28365384615387,907.5961538461538,529.171339563863,1037.993769470405,401.4,1082.2
9,0.30024177693761817,True,438.60196035001127,995.3292030714015,1.1403028964996338,2.8511693477630615,0.04829352171078627,953.0,4,4,119.94061351075935,189.97447429360747,357.64310954063603,954.3144876325089,468.9864864864865,909.722972972973,526.7312775330397,1040.9140969162995,396.5,1080.8
10,0.3336019743751313,True,438.08570292194554,995.9505476982386,1.1392143964767456,2.8521904945373535,0.04473911240257353,919.5,4,4,122.39816133536013,189.72963381748792,359.3137254901961,951.9372549019608,474.3072625698324,910.0111731843575,523.7201017811705,1046.6361323155215,391.1666666666667,1079.8333333333333
11,0.3669621718126444,True,437.60113131899425,995.8897424365762,1.1382646560668945,2.852097272872925,0.028606081422108878,1010.5,4,4,118.47993057854865,192.43000535718602,363.71517027863774,943.4179566563467,478.39375,913.646875,523.8209302325581,1050.167441860465,380.875,1075.875
12,0.4003223692501576,True,437.3553591746253,995.2583693866018,1.1378490924835205,2.851069211959839,0.03323944218328431,1220.0,4,4,121.59427776420003,193.6912359522923,366.36,937.584,485.8983833718245,915.3187066974596,520.0039840637451,1055.5239043824702,375.3333333333333,1067.9166666666667
13,0.4336825666876707,True,436.8155074422093,995.3289588352135,1.1367753744125366,2.851191282272339,0.032392938977622084,1019.5,4,5,123.2247757571323,193.7141740167584,368.0658682634731,934.688622754491,490.40575916230364,919.9476439790576,512.5657894736842,1063.703947368421,372.2142857142857,1063.5
14,0.4670427641251838,True,437.20606091229354,995.861247663021,1.1374880075454712,2.852055549621582,0.033578349154160615,1053.5,4,4,124.51680078851376,195.4888034952713,369.05836575875486,931.6498054474708,493.20388349514565,922.0412621359224,509.88317757009344,1067.2383177570093,379.5800711743772,1066.4697508896797
15,0.5004029615626969,True,437.56789043246965,996.080608224353,1.1381779909133911,2.8524091243743896,0.02324031002629667,920.0,4,4,122.64735807422981,194.23727643281504,371.375,930.89375,493.8612716763006,924.6098265895954,509.9244444444444,1067.0266666666666,377.79872204472844,1063.4217252396165
16,0.5337631590002101,True,438.27710163769984,995.937390658311,1.1395936012268066,2.8521666526794434,0.04305208290490906,978.5,4,5,127.22071118861825,194.50239211664106,373.1735849056604,925.5698113207548,500.3682008368201,928.1464435146444,507.5365853658537,1066.2032520325204,377.29846153846154,1062.7661538461539
17,0.5671233564377232,True,438.4417957305835,995.927269546703,1.1399198770523071,2.8521480560302734,0.009796266053719199,963.0,4,5,124.27058104587995,195.48980981385782,375.4076655052265,924.9442508710802,499.6628242074928,926.9020172910663,504.90140845070425,1071.394366197183,375.0187265917603,1060.3932584269662
18,0.6004835538752363,True,439.1017414869327,995.3071876349735,1.1412923336029053,2.8511271476745605,0.05127438362996271,796.0,4,4,121.98197985013712,191.8083521498438,377.92488262910797,923.6478873239437,499.81481481481484,928.3858024691358,508.2578947368421,1064.3736842105263,375.31182795698925,1060.215053763441
19,0.6338437513127495,True,440.55452195662195,995.8839069519515,1.1440949440002441,2.852051019668579,0.08845750790879892,956.0,4,4,122.71414205524171,192.20347851309594,378.9384615384615,927.4538461538461,501.6423841059603,929.0375275938189,512.8239202657808,1065.3554817275747,379.6054054054054,1065.972972972973
20,0.6672039487502626,True,441.68228478524867,996.228430621781,1.1462807655334473,2.8525993824005127,0.06755225681545192,927.5,4,5,126.97020124559374,197.0505267555406,377.6653992395437,924.9733840304183,504.5631313131313,929.2626262626262,512.4148606811145,1068.749226006192,380.4634146341463,1064.4878048780488
21,0.7005641461877757,True,442.7138034934614,996.6786716598172,1.1482632160186768,2.853320598602295,0.06323597420048865,956.0,4,5,126.75019857268937,195.84257335848994,379.39193083573485,925.3054755043228,506.0464480874317,930.2295081967213,511.20454545454544,1070.1493506493507,381.875,1064.375
